game_id,season,game_type,date,home_team_id,away_team_id,venue,start_time,home_score,away_score,status
2024021166,20232024,R,2025-03-29,17,6,Little Caesars Arena,2025-03-30T00:00:00Z,,,FUT
2024021167,20232024,R,2025-03-29,22,20,Rogers Place,2025-03-30T02:00:00Z,,,FUT
2024021168,20232024,R,2025-03-29,28,3,SAP Center at San Jose,2025-03-30T02:30:00Z,,,FUT
2024021169,20232024,R,2025-03-29,55,25,Climate Pledge Arena,2025-03-30T02:30:00Z,,,FUT
2024021170,20232024,R,2025-03-30,13,8,Amerant Bank Arena,2025-03-30T17:00:00Z,,,FUT
2024021171,20232024,R,2025-03-30,15,7,Capital One Arena,2025-03-30T19:00:00Z,,,FUT
2024021172,20232024,R,2025-03-30,52,23,Canada Life Centre,2025-03-30T19:00:00Z,,,FUT
2024021173,20232024,R,2025-03-30,16,59,United Center,2025-03-30T20:00:00Z,,,FUT
2024021174,20232024,R,2025-03-30,5,9,PPG Paints Arena,2025-03-30T21:00:00Z,,,FUT
2024021175,20232024,R,2025-03-30,12,2,Lenovo Center,2025-03-30T21:00:00Z,,,FUT
2024021176,20232024,R,2025-03-30,24,10,Honda Center,2025-03-31T00:00:00Z,,,FUT
2024021177,20232024,R,2025-03-30,26,28,Crypto.com Arena,2025-03-31T02:00:00Z,,,FUT
2024021178,20232024,R,2025-03-31,1,30,Prudential Center,2025-03-31T23:00:00Z,,,FUT
2024021179,20232024,R,2025-03-31,4,18,Wells Fargo Center,2025-03-31T23:00:00Z,,,FUT
2024021180,20232024,R,2025-03-31,21,20,Ball Arena,2025-04-01T00:30:00Z,,,FUT
2024021181,20232024,R,2025-03-31,55,25,Climate Pledge Arena,2025-04-01T02:00:00Z,,,FUT
2024021182,20232024,R,2025-04-01,6,15,TD Garden,2025-04-01T23:00:00Z,,,FUT
2024021183,20232024,R,2025-04-01,8,13,Centre Bell,2025-04-01T23:00:00Z,,,FUT
2024021184,20232024,R,2025-04-01,9,7,Canadian Tire Centre,2025-04-01T23:00:00Z,,,FUT
2024021185,20232024,R,2025-04-01,29,18,Nationwide Arena,2025-04-01T23:00:00Z,,,FUT
2024021186,20232024,R,2025-04-01,2,14,UBS Arena,2025-04-01T23:30:00Z,,,FUT
2024021187,20232024,R,2025-04-01,19,17,Enterprise Center,2025-04-02T00:00:00Z,,,FUT
2024021188,20232024,R,2025-04-01,59,20,Delta Center,2025-04-02T01:00:00Z,,,FUT
2024021189,20232024,R,2025-04-01,54,22,T-Mobile Arena,2025-04-02T02:00:00Z,,,FUT
2024021190,20232024,R,2025-04-01,24,28,Honda Center,2025-04-02T02:00:00Z,,,FUT
2024021191,20232024,R,2025-04-01,26,52,Crypto.com Arena,2025-04-02T02:30:00Z,,,FUT
2024021192,20232024,R,2025-04-02,3,30,Madison Square Garden,2025-04-02T23:00:00Z,,,FUT
2024021193,20232024,R,2025-04-02,12,15,Lenovo Center,2025-04-02T23:00:00Z,,,FUT
2024021194,20232024,R,2025-04-02,10,13,Scotiabank Arena,2025-04-02T23:30:00Z,,,FUT
2024021195,20232024,R,2025-04-02,16,21,United Center,2025-04-03T01:30:00Z,,,FUT
2024021196,20232024,R,2025-04-02,23,55,Rogers Arena,2025-04-03T02:30:00Z,,,FUT
