game_id,season,game_type,date,home_team_id,away_team_id,venue,start_time,home_score,away_score,status,distance_traveled,timezone_diff,travel_direction,estimated_travel_time,days_since_last_game,is_back_to_back
2024021143,20222023,R,2025-03-27,7,5,KeyBank Center,2025-03-27T23:00:00Z,7.0,3.0,OFF,,,,,,0
2024021144,20222023,R,2025-03-27,17,9,Little Caesars Arena,2025-03-27T23:00:00Z,3.0,4.0,OFF,,,,,,0
2024021145,20222023,R,2025-03-27,14,59,Amalie Arena,2025-03-27T23:00:00Z,8.0,0.0,OFF,,,,,,0
2024021146,20222023,R,2025-03-27,4,8,Wells Fargo Center,2025-03-27T23:00:00Z,6.0,4.0,OFF,,,,,,0
2024021148,20222023,R,2025-03-27,30,15,Xcel Energy Center,2025-03-27T23:30:00Z,4.0,2.0,OFF,,,,,,0
2024021147,20222023,R,2025-03-27,18,19,Bridgestone Arena,2025-03-28T00:00:00Z,2.0,3.0,OFF,,,,,,0
2024021150,20222023,R,2025-03-27,20,25,Scotiabank Saddledome,2025-03-28T01:00:00Z,2.0,5.0,OFF,,,,,,0
2024021149,20222023,R,2025-03-27,21,26,Ball Arena,2025-03-28T02:00:00Z,4.0,0.0,OFF,,,,,,0
2024021151,20222023,R,2025-03-27,55,22,Climate Pledge Arena,2025-03-28T02:00:00Z,6.0,1.0,OFF,,,,,,0
2024021152,20222023,R,2025-03-27,28,10,SAP Center at San Jose,2025-03-28T02:30:00Z,6.0,5.0,OFF,,,,,,0
2024021158,20222023,R,2025-03-28,24,3,Honda Center,2025-03-29T02:00:00Z,,,FUT,,,,,,0
2024021157,20222023,R,2025-03-28,16,54,United Center,2025-03-29T00:30:00Z,,,FUT,,,,,,0
2024021156,20222023,R,2025-03-28,52,1,Canada Life Centre,2025-03-29T00:00:00Z,,,FUT,,,,,,0
2024021153,20222023,R,2025-03-28,13,59,Amerant Bank Arena,2025-03-28T23:00:00Z,,,FUT,,0.0,unknown,,,0
2024021154,20222023,R,2025-03-28,12,8,Lenovo Center,2025-03-28T23:00:00Z,,,FUT,,0.0,unknown,,,0
2024021155,20222023,R,2025-03-28,29,23,Nationwide Arena,2025-03-28T23:00:00Z,,,FUT,,,,,,0
2024021165,20222023,R,2025-03-29,26,10,Crypto.com Arena,2025-03-29T23:00:00Z,,,FUT,491.3629388211866,0.0,westward,2.1142036735264833,,0
2024021168,20222023,R,2025-03-29,28,3,SAP Center at San Jose,2025-03-30T02:30:00Z,,,FUT,534.8088222945483,0.0,eastward,2.1685110278681856,,0
2024021167,20222023,R,2025-03-29,22,20,Rogers Place,2025-03-30T02:00:00Z,,,FUT,907.0224698818921,1.0,westward,2.633778087352365,,0
2024021166,20222023,R,2025-03-29,17,6,Little Caesars Arena,2025-03-30T00:00:00Z,,,FUT,0.0,0.0,same,0.0,,0
2024021164,20222023,R,2025-03-29,9,29,Canadian Tire Centre,2025-03-29T23:00:00Z,,,FUT,659.2364122873598,0.0,westward,2.3240455153591997,,0
2024021169,20222023,R,2025-03-29,55,25,Climate Pledge Arena,2025-03-30T02:30:00Z,,,FUT,0.0,0.0,same,0.0,,0
2024021162,20222023,R,2025-03-29,30,1,Xcel Energy Center,2025-03-29T22:00:00Z,,,FUT,628.4326380351725,0.0,westward,2.2855407975439657,,0
2024021161,20222023,R,2025-03-29,21,19,Ball Arena,2025-03-29T20:30:00Z,,,FUT,1644.175004233569,-1.0,eastward,3.5552187552919614,,0
2024021160,20222023,R,2025-03-29,14,2,Amalie Arena,2025-03-29T18:00:00Z,,,FUT,0.0,0.0,same,0.0,,0
2024021159,20222023,R,2025-03-29,4,7,Wells Fargo Center,2025-03-29T17:00:00Z,,,FUT,0.0,0.0,same,0.0,,0
2024021163,20222023,R,2025-03-29,18,54,Bridgestone Arena,2025-03-29T22:30:00Z,,,FUT,,0.0,unknown,,,0
